sample_id,TLmm,BDmm,BAmm,PAmm,SLmm,TLAmm
reared-1-1-1,3.151948718,0.472820513,0.63860618,0.908639053,NA,NA
reared-1-1-1,3.239487179,0.479692308,0.693070348,1.020986193,NA,NA
reared-1-1-1,3.180205128,0.50374359,0.708323471,1.117186062,NA,NA
reared-1-1-1,2.97774359,0.410564103,0.568809993,0.759289941,NA,NA
reared-1-1-1,2.102564103,0.498410256,0.476817883,0.632583826,NA,NA
reared-1-1-1,3.275384615,0.466717949,0.690913872,1.032557528,NA,NA
reared-1-1-1,3.082615385,0.466717949,0.676554898,0.916712689,NA,NA
reared-1-1-1,2.804410256,0.479128205,0.57251808,0.858145957,NA,NA
reared-1-1-1,3.061948718,0.479384615,0.626798159,0.906561473,NA,NA
reared-1-1-1,2.944974359,0.415487179,0.556949375,0.813359632,NA,NA
reared-1-1-1,3.223179487,0.50574359,0.665693623,0.949717291,NA,NA
reared-1-1-1,2.122512821,0.476717949,0.467376726,0.42974359,NA,NA
reared-1-1-3,3.067357513,0.556506292,0.775945225,0.983387583,NA,NA
reared-1-1-3,2.370866025,0.391413768,0.497216471,0.248222525,NA,NA
reared-1-1-3,2.863123612,0.490066617,0.655989121,0.645504796,NA,NA
reared-1-1-3,3.311561806,0.648527017,0.835204451,0.923953033,NA,NA
reared-1-1-3,2.411073279,0.463597335,0.53817196,0.567801574,NA,NA
reared-1-1-3,2.355766099,0.519082161,0.572745687,0.61117652200000006,NA,NA
reared-1-1-3,3.122842339,0.507535159,0.686951191,0.838956367,NA,NA
reared-1-1-3,3.071739452,0.535011103,0.691930368,0.876370329,NA,NA
reared-1-1-3,2.774241303,0.491547002,0.831382407,0.940713927,NA,NA
reared-1-1-3,2.162783124,0.465255366,0.480245189,0.47880754,NA,NA
reared-1-1-3,3.281006662,0.566099186,0.757571358,1.007687373,NA,NA
reared-1-1-3,2.702827535,0.521628423,0.660652717,0.339180178,NA,NA
reared-1-1-3,2.775366395,0.588660252,0.714967831,0.839271949,NA,NA
reared-1-1-3,2.733678756,0.525891932,0.659705972,0.599149354,NA,NA
reared-1-1-3,2.75215396,0.5211547,0.597816898,0.597325993,NA,NA
reared-1-1-6,3.475583306,0.733026618,1.057555042,1.227104243,NA,NA
reared-1-1-6,2.965626027,0.710614525,1.010772422,0.94312553,NA,NA
reared-1-1-6,3.01695695,0.683930332,0.933017374,1.053062528,NA,NA
reared-1-1-6,3.12849162,0.566611896,0.792971894,0.673315515,NA,NA
reared-1-1-6,2.899769964,0.714229379,0.882476593,0.845758932,NA,NA
reared-1-1-6,3.712849162,0.762668419,1.193842362,1.345032732,NA,NA
reared-1-1-6,3.239829116,0.683798883,0.997554064,0.796427674,NA,NA
reared-1-1-6,3.480315478,0.779559645,1.20783827,1.188701889,NA,NA
reared-1-1-6,3.461189616,0.928228722,1.394666371,1.496698272,NA,NA
reared-1-1-6,3.770029576,1.047518896,1.843183404,1.548016604,NA,NA
reared-1-1-6,3.239697667,0.634702596,0.968655104,1.068483946,NA,NA
reared-1-1-9,4.725474511,1.201464136,3.101168739,9.080402582,NA,NA
reared-1-1-9,5.01064165,1.347780767,4.229661338,2.680346205,NA,NA
reared-1-1-9,6.128523986,1.57186144,5.954977316,3.880292139,NA,NA
reared-1-1-9,5.260805275,1.350495722,4.127276231,2.597610765,NA,NA
reared-1-1-9,5.706348629,1.424284294,4.596423783,2.787526207,NA,NA
reared-1-1-9,5.605701404,1.481007442,5.002109492,2.479994816,NA,NA
reared-1-1-9,4.501975614,1.376869561,3.801411418,1.898684332,NA,NA
reared-1-1-9,5.224541245,1.345841515,4.411961359,2.253694584,NA,NA
reared-1-1-9,5.476062347,1.398201343,4.251943496,2.795987786,NA,NA
reared-1-1-9,5.144159213,1.321600853,3.931531701,2.536217308,NA,NA
reared-1-1-9,5.3695004,1.323346181,4.359875639,2.644901591,NA,NA
reared-1-1-9,3.547475335,0.941313359,1.991197597,1.308160128,NA,NA
reared-1-1-12,8.285795268,2.169645255,10.51661264,8.040400677,NA,NA
reared-1-1-12,6.265775577,1.641256676,6.281660391,4.531599197,NA,NA
